street,name,city,postal,address,Latitude,Longitude,,date
481 Bloor St W,Rexall,"Toronto, ON",M5S 1Y2,"481 Bloor St W Toronto, ON M5S 1Y2",43.6657664,-79.4071296,43.6657664-79.4071296,2021-03-29
539 Parliament St,539 Parliament Street - Rexall,"Toronto, ON",M4X 1P7,"539 Parliament St Toronto, ON M4X 1P7",43.6661388,-79.3683352,43.6661388-79.3683352,2021-03-10
499 Main St S,Rexall,"Brampton, ON",L6Y 1N7,"499 Main St S Brampton, ON L6Y 1N7",43.6661412,-79.7375339,43.6661412-79.7375339,2021-03-29
3446 Dundas St W,3446 Dundas Street West - Shoppers Drug Mart,"Toronto, ON",M6S 2S1,"3446 Dundas St W Toronto, ON M6S 2S1",43.6661678,-79.4867346,43.6661678-79.4867346,2021-03-10
333 Symington Ave,Symington Pharmacy,"Toronto, ON",M6P 3X1,"333 Symington Ave Toronto, ON M6P 3X1",43.6664699,-79.4512356,43.6664699-79.4512356,2021-03-10
1400 Dupont St,1400 Dupont Street - Shoppers Drug Mart,"Toronto, ON",M6H 2B2,"1400 Dupont St Toronto, ON M6H 2B2",43.6667712,-79.4473799,43.6667712-79.4473799,2021-03-29
557 Church St,Well+Good Pharmacy,"Toronto, ON",M4Y 2E2,"557 Church St Toronto, ON M4Y 2E2",43.6672314,-79.3812547,43.6672314-79.3812547,2021-03-10
264 Bloor St W,Snowden Pharmacy,"Toronto, ON",M5S 1V8,"264 Bloor St W Toronto, ON M5S 1V8",43.6675767,-79.4002614,43.6675767-79.4002614,2021-03-10
1245 Dupont St,1245 Dupont Street - Rexall,"Toronto, ON",M6H 2A6,"1245 Dupont St Toronto, ON M6H 2A6",43.6676544,-79.4420834,43.6676544-79.4420834,2021-03-10
2525 Saint Clair Ave W,2525 St Clair Ave West - Walmart,"Toronto, ON",M6N 4Z5,"2525 Saint Clair Ave W Toronto, ON M6N 4Z5",43.6680541,-79.4845815,43.6680541-79.4845815,2021-03-10
236 Bloor St W,236 Bloor St. West - Shoppers Drug Mart,"Toronto, ON",M5S 1T8,"236 Bloor St W Toronto, ON M5S 1T8",43.6683598,-79.3967611,43.6683598-79.3967611,2021-03-10
997 Gerrard St E,Total Health Pharmacy,"Toronto, ON",M4M 1Z4,"997 Gerrard St E Toronto, ON M4M 1Z4",43.6685011,-79.3380405,43.6685011-79.3380405,2021-03-10
1025 Gerrard St E,Vina Pharmacy,"Toronto, ON",M4M 1Z6,"1025 Gerrard St E Toronto, ON M4M 1Z6",43.6686901,-79.3372617,43.6686901-79.3372617,2021-03-10
449 Carlaw Ave,449 Carlaw Ave - Loblaw,"Toronto, ON",M4K 3H9,"449 Carlaw Ave Toronto, ON M4K 3H9",43.6688158,-79.3419791,43.6688158-79.3419791,2021-03-10
1967 Queen St E,Beaches Pharmacy,"Toronto, ON",M4L 1H9,"1967 Queen St E Toronto, ON M4L 1H9",43.6695158,-79.3014836,43.6695158-79.3014836,2021-03-10
55 Bloor St W,55 Bloor St. West - Shoppers Drug Mart,"Toronto, ON",M4W 1A5,"55 Bloor St W Toronto, ON M4W 1A5",43.6695878,-79.3886243,43.6695878-79.3886243,2021-03-10
565 Sherbourne St Unit 40,565 Sherbourne Street - Shoppers Drug Mart,"Toronto, ON",M4X 1W7,"565 Sherbourne St Unit 40 Toronto, ON M4X 1W7",43.6701586,-79.3756379,43.6701586-79.3756379,2021-03-10
2000 Queen St E,2000 Queen St. East - Shoppers Drug Mart,"Toronto, ON",M4L 1J2,"2000 Queen St E Toronto, ON M4L 1J2",43.6701805,-79.3002078,43.6701805-79.3002078,2021-03-10
20 Bloor St E,20 Bloor St. East - Shoppers Drug Mart,"Toronto, ON",M4W 3G7,"20 Bloor St E Toronto, ON M4W 3G7",43.6709974,-79.3849884,43.6709974-79.3849884,2021-03-10
620 Keele St,620 Keele St. - Shoppers Drug Mart,"Toronto, ON",M6N 3E2,"620 Keele St Toronto, ON M6N 3E2",43.6717349,-79.4676787,43.6717349-79.4676787,2021-03-10
87 Ave Rd,87 Avenue Road - Rexall,"Toronto, ON",M5R 3R9,"87 Ave Rd Toronto, ON M5R 3R9",43.6719078,-79.3948697,43.6719078-79.3948697,2021-03-10
345 Bloor St Unit 3,"345 Bloor Street., Unit 3 - Rexall","Toronto, ON",M4W 1H7,"345 Bloor St Unit 3 Toronto, ON M4W 1H7",43.6719243,-79.3782579,43.6719243-79.3782579,2021-03-10
292 Dupont St,292 Dupont St. - Shoppers Drug Mart,"Toronto, ON",M5R 1V9,"292 Dupont St Toronto, ON M5R 1V9",43.6749503,-79.4080207,43.6749503-79.4080207,2021-03-10
235 Danforth Ave Unit 101,235 Danforth Avenue - Shoppers Drug Mart,"Toronto, ON",M4K 1N2,"235 Danforth Ave Unit 101 Toronto, ON M4K 1N2",43.6767537,-79.3553553,43.6767537-79.3553553,2021-03-11
180 Danforth Ave,180 Danforth Ave. - Shoppers Drug Mart,"Toronto, ON",M4K 1N1,"180 Danforth Ave Toronto, ON M4K 1N1",43.6768251,-79.3570281,43.6768251-79.3570281,2021-03-10
238 Danforth Ave,City Pharmacy Remedy's Rx,"Toronto, ON",M4K 1N4,"238 Danforth Ave Toronto, ON M4K 1N4",43.6770696,-79.3553891,43.6770696-79.3553891,2021-03-10
1027 Yonge St,1027 Yonge Street - Shoppers Drug Mart,"Toronto, ON",M4W 2K9,"1027 Yonge St Toronto, ON M4W 2K9",43.6776412,-79.3894544,43.6776412-79.3894544,2021-03-10
160 Main St S,160 Main Street South - Shoppers Drug Mart,"Brampton, ON",L6W 2E1,"160 Main St S Brampton, ON L6W 2E1",43.6782516,-79.7476109,43.6782516-79.7476109,2021-03-29
755 Danforth Ave,755 Danforth Ave. - Shoppers Drug Mart,"Toronto, ON",M4J 1L2,"755 Danforth Ave Toronto, ON M4J 1L2",43.6791604,-79.3422515,43.6791604-79.3422515,2021-03-10
250 Wincott Dr,250 Wincott Drive - Rexall,"Weston, ON",M9R 2R5,"250 Wincott Dr Weston, ON M9R 2R5",43.679583,-79.5466,43.679583-79.5466,2021-03-10
944 Kingston Rd,Lawlor Pharmasave,"Toronto, ON",M4E 1S7,"944 Kingston Rd Toronto, ON M4E 1S7",43.6805978,-79.288133,43.6805978-79.288133,2021-03-10
891 Broadview Ave,Pharmacare Drug Mart,"Toronto, ON",M4K 2P9,"891 Broadview Ave Toronto, ON M4K 2P9",43.680721,-79.3576452,43.680721-79.3576452,2021-03-10
523 St Clair Ave W,523 St. Clair Ave. West - Shoppers Drug Mart,"Toronto, ON",M6C 1A1,"523 St Clair Ave W Toronto, ON M6C 1A1",43.6827448,-79.4191271,43.6827448-79.4191271,2021-03-10
100 Biscayne Crescent,Costco Pharmacy,"Brampton, ON",L6W 4S1,"100 Biscayne Crescent Brampton, ON L6W 4S1",43.6834157,-79.7122661,43.6834157-79.7122661,2021-03-29
35 Worthington Ave,Drug Store Pharmacy,"Brampton, ON",L7A 2Y7,"35 Worthington Ave Brampton, ON L7A 2Y7",43.6836958,-79.8154916,43.6836958-79.8154916,2021-03-29
415 The Wway,Shoppers Drug Mart,"Etobicoke, ON",M9R 1H5,"415 The Wway Etobicoke, ON M9R 1H5",43.683881,-79.564842,43.683881-79.564842,2021-03-29
1630 Danforth Ave,1630 Danforth Avenue - Shoppers Drug Mart,"Toronto, ON",M4C 1H6,"1630 Danforth Ave Toronto, ON M4C 1H6",43.683901,-79.3221898,43.683901-79.3221898,2021-03-11
396 Saint Clair Ave W,396 Saint Clair Ave - Loblaw,"Toronto, ON",M5P 3N3,"396 Saint Clair Ave W Toronto, ON M5P 3N3",43.6841477,-79.4153394,43.6841477-79.4153394,2021-03-10
140 La Rose Ave,La Rose Pharmacy,"Weston, ON",M9P 1B2,"140 La Rose Ave Weston, ON M9P 1B2",43.6857008,-79.5235907,43.6857008-79.5235907,2021-03-29
25 Photography Dr,Drug Store Pharmacy,"Toronto, ON",M6M 0A1,"25 Photography Dr Toronto, ON M6M 0A1",43.686662,-79.4839226,43.686662-79.4839226,2021-03-29
2490 Gerrard St E,2490 Gerrard St. East - Sobeys,"Scarborough, ON",M1N 1W8,"2490 Gerrard St E Scarborough, ON M1N 1W8",43.6878079,-79.2848414,43.6878079-79.2848414,2021-03-10
2494 Danforth Ave,2494 Danforth Ave. - Shoppers Drug Mart,"Toronto, ON",M4C 1K9,"2494 Danforth Ave Toronto, ON M4C 1K9",43.6882324,-79.3035346,43.6882324-79.3035346,2021-03-10
2 St Clair Ave E Unit C001,Rexall,"Toronto, ON",M4T 2T5,"2 St Clair Ave E Unit C001 Toronto, ON M4T 2T5",43.6884661,-79.3938,43.6884661-79.3938,2021-03-29
81 St Clair Ave E Unit 220,Ava Pharmacy,"Toronto, ON",M4T 1M7,"81 St Clair Ave E Unit 220 Toronto, ON M4T 1M7",43.6884774,-79.3907408,43.6884774-79.3907408,2021-03-29
50 Musgrave St,50 Musgrave Street - Loblaw,"Toronto, ON",M4E 3W2,"50 Musgrave St Toronto, ON M4E 3W2",43.6885028,-79.2882397,43.6885028-79.2882397,2021-03-10
1292 Won Rd,Weston Jane Pharmacy,"Toronto, ON",M6M 4R3,"1292 Won Rd Toronto, ON M6M 4R3",43.6890897,-79.495785,43.6890897-79.495785,2021-03-29
1507 Yonge St,1507 Yonge St. - Shoppers Drug Mart,"Toronto, ON",M4T 1Z2,"1507 Yonge St Toronto, ON M4T 1Z2",43.6893843,-79.3941999,43.6893843-79.3941999,2021-03-10
3003 Danforth Ave,3003 Danforth Avenue - Metro,"Toronto, ON",M4C 1M9,"3003 Danforth Ave Toronto, ON M4C 1M9",43.6896746,-79.2906481,43.6896746-79.2906481,2021-03-10
825 Coxwell Ave Unit C114,825 Coxwell Ave. - Pharmasave,"Toronto, ON",M4C 3E7,"825 Coxwell Ave Unit C114 Toronto, ON M4C 3E7",43.6898713,-79.3248582,43.6898713-79.3248582,2021-03-10
840 Coxwell Ave Unit 102,East York Pharmasave,"Toronto, ON",M4C 5T2,"840 Coxwell Ave Unit 102 Toronto, ON M4C 5T2",43.6900078,-79.326603,43.6900078-79.326603,2021-03-10
2928 Danforth Ave,Care and Health Pharmacy,"Toronto, ON",M4C 1M1,"2928 Danforth Ave Toronto, ON M4C 1M1",43.6901834,-79.2934675,43.6901834-79.2934675,2021-03-10
2600 Eglinton Ave W,2600 Eglinton Ave West - Medicine Shoppe,"Toronto, ON",M6M 1T5,"2600 Eglinton Ave W Toronto, ON M6M 1T5",43.6908356,-79.4729896,43.6908356-79.4729896,2021-03-10
2343 Eglinton Ave W,2343 Eglinton Ave. West - Shoppers Drug Mart,"Toronto, ON",M6E 2L6,"2343 Eglinton Ave W Toronto, ON M6E 2L6",43.6926252,-79.4627417,43.6926252-79.4627417,2021-03-10
600 Caledonia Rd,New Caledonia Pharmacy,"Toronto, ON",M6E 4V5,"600 Caledonia Rd Toronto, ON M6E 4V5",43.6933118,-79.4623036,43.6933118-79.4623036,2021-03-10
1840 Eglinton Ave W,1840 Eglinton Avenue West - Shoppers Drug Mart,"Toronto, ON",M6E 2J4,"1840 Eglinton Ave W Toronto, ON M6E 2J4",43.6958261,-79.4509313,43.6958261-79.4509313,2021-03-10
1751 Eglinton Ave W,Northcliffe Pharmacy,"Toronto, ON",M6E 2H7,"1751 Eglinton Ave W Toronto, ON M6E 2H7",43.6960021,-79.4478437,43.6960021-79.4478437,2021-03-10
325 Moore Ave,Rexall,"Toronto, ON",M4G 3T6,"325 Moore Ave Toronto, ON M4G 3T6",43.6966927,-79.369391,43.6966927-79.369391,2021-03-29
1533 Jane St,Shoppers Drug Mart,"Toronto, ON",M9N 2R2,"1533 Jane St Toronto, ON M9N 2R2",43.6971001,-79.5014085,43.6971001-79.5014085,2021-03-29
1881 Yonge St,Welcome Guardian Pharmacy,"Toronto, ON",M4S 3C4,"1881 Yonge St Toronto, ON M4S 3C4",43.6976717,-79.3960999,43.6976717-79.3960999,2021-03-29
1920 Yonge St,Sam's I.D.A. Pharmacy,"Toronto, ON",M4S 3E2,"1920 Yonge St Toronto, ON M4S 3E2",43.6987992,-79.3972615,43.6987992-79.3972615,2021-03-10
710 Tower St S,Shoppers Drug Mart,"Fergus, ON",N1M 2R3,"710 Tower St S Fergus, ON N1M 2R3",43.698977,-80.3708237,43.698977-80.3708237,2021-03-29
2221 Keele St,Keele-Ingram Pharmacy,"Toronto, ON",M6M 3Z5,"2221 Keele St Toronto, ON M6M 3Z5",43.6989823,-79.4755084,43.6989823-79.4755084,2021-03-10
6420 Beatty Line N Suite 101,Trailside Pharmacy,"Fergus, ON",N1M 2W3,"6420 Beatty Line N Suite 101 Fergus, ON N1M 2W3",43.6990215,-80.3893792,43.6990215-80.3893792,2021-03-29
11 Redway Rd,11 Redway Road - Loblaw,"Toronto, ON",M4H 1P6,"11 Redway Rd Toronto, ON M4H 1P6",43.6990972,-79.3597232,43.6990972-79.3597232,2021-03-10
1500 Woodbine Ave,1500 Woodbine Ave. - Shoppers Drug Mart,"Toronto, ON",M4C 4G9,"1500 Woodbine Ave Toronto, ON M4C 4G9",43.6992126,-79.3193571,43.6992126-79.3193571,2021-03-10
1575 Jane St Unit 7 N,Whole Health Pharmacy,"York, ON",M9N 2R3,"1575 Jane St Unit 7 N York, ON M9N 2R3",43.6993661,-79.5025262,43.6993661-79.5025262,2021-03-10
901 Eglinton Ave W,901 Eglinton Avenue West - Rexall,"Toronto, ON",M6C 2C1,"901 Eglinton Ave W Toronto, ON M6C 2C1",43.7004107,-79.4270751,43.7004107-79.4270751,2021-03-10
1901 Won Rd,Pharmasave Eagle Manor,"Toronto, ON",M9N 3P5,"1901 Won Rd Toronto, ON M9N 3P5",43.7004533,-79.5156295,43.7004533-79.5156295,2021-04-02
2077 Won Rd,Friendly Care West King Pharmacy,"Toronto, ON",M9N 1X7,"2077 Won Rd Toronto, ON M9N 1X7",43.7022456,-79.5224543,43.7022456-79.5224543,2021-03-10
145 Marlee Ave,145 Marlee Avenue - Sobeys,"Toronto, ON",M6B 3H3,"145 Marlee Ave Toronto, ON M6B 3H3",43.7028027,-79.4412533,43.7028027-79.4412533,2021-03-10
491 Eglinton Ave W #102,Forest Hill Pharmacy,"Toronto, ON",M5N 1A8,"491 Eglinton Ave W #102 Toronto, ON M5N 1A8",43.7034249,-79.4128462,43.7034249-79.4128462,2021-03-10
243 Eglinton Ave W,Uptown Pharmacy,"Toronto, ON",M4R 1B1,"243 Eglinton Ave W Toronto, ON M4R 1B1",43.7048167,-79.4066513,43.7048167-79.4066513,2021-03-29
45 Overlea Blvd,45 Overlea Blvd. - Shoppers Drug Mart,"Toronto, ON",M4H 1C3,"45 Overlea Blvd Toronto, ON M4H 1C3",43.7057953,-79.3460276,43.7057953-79.3460276,2021-03-10
812 OConnor Dr,812 O'Connor Dr. - Shoppers Drug Mart,"Toronto, ON",M4B 2S9,"812 OConnor Dr Toronto, ON M4B 2S9",43.7058539,-79.3128279,43.7058539-79.3128279,2021-03-10
1601 Bayview Ave E,1601 Bayview Avenue - Shoppers Drug Mart,"York, ON",M4G 3B5,"1601 Bayview Ave E York, ON M4G 3B5",43.7063311,-79.375022,43.7063311-79.375022,2021-03-10
2 Thorncliffe Park Dr Unit 26-27 E,I CARE Pharmacy Services,"York, ON",M4H 1H2,"2 Thorncliffe Park Dr Unit 26-27 E York, ON M4H 1H2",43.7065383,-79.351572,43.7065383-79.351572,2021-03-10
10035 Hurontario St Units 13-15,Rexall,"Brampton, ON",L6Z 0E6,"10035 Hurontario St Units 13-15 Brampton, ON L6Z 0E6",43.706743,-79.786987,43.706743-79.786987,2021-03-29
462 Birchmount Rd,Birchmount Pharmasave,"Scarborough, ON",M1K 1N8,"462 Birchmount Rd Scarborough, ON M1K 1N8",43.7069465,-79.2687238,43.7069465-79.2687238,2021-03-10
42 Overlea Blvd Thorncliffe,42 Overlea Blvd - Costo,"Park, ON",M4H 1B8,"42 Overlea Blvd Thorncliffe Park, ON M4H 1B8",43.707102,-79.3480393,43.707102-79.3480393,2021-03-10
2300 Yonge St,2300 Yonge Street - Rexall,"Toronto, ON",M4P 1E4,"2300 Yonge St Toronto, ON M4P 1E4",43.7072693,-79.3996009,43.7072693-79.3996009,2021-03-10
60 Quarry Edge Dr,Drugstore Pharmacy,"Brampton, ON",L6V 1K2,"60 Quarry Edge Dr Brampton, ON L6V 1K2",43.7077189,-79.7825675,43.7077189-79.7825675,2021-03-29
759 Mount Pleasant Rd,759 Mount Pleasant Rd. - Shoppers Drug Mart,"Toronto, ON",M4S 2N4,"759 Mount Pleasant Rd Toronto, ON M4S 2N4",43.7077315,-79.3895818,43.7077315-79.3895818,2021-03-10
2394 Keele St,Demarco Pharmacy,"Toronto, ON",M6M 4A5,"2394 Keele St Toronto, ON M6M 4A5",43.7082127,-79.4781558,43.7082127-79.4781558,2021-03-29
2549 Won Rd,2549 Weston Road - Loblaw,"Toronto, ON",M9N 2A7,"2549 Won Rd Toronto, ON M9N 2A7",43.70839,-79.533897,43.70839-79.533897,2021-03-10
1305 Lawrence Ave W,Wal-Mart Pharmacy,"Toronto, ON",M6L 1A5,"1305 Lawrence Ave W Toronto, ON M6L 1A5",43.7085041,-79.4733767,43.7085041-79.4733767,2021-03-29
2920 Dufferin St,Glen Park Pharmacy,"Toronto, ON",M6B 3S8,"2920 Dufferin St Toronto, ON M6B 3S8",43.7085848,-79.4539933,43.7085848-79.4539933,2021-04-02
2345 Yonge St,2345 Yonge St. - Shoppers Drug Mart,"Toronto, ON",M4P 1E4,"2345 Yonge St Toronto, ON M4P 1E4",43.7089492,-79.3978503,43.7089492-79.3978503,2021-03-10
123 Rexdale Blvd,123 Rexdale Boulevard - Shoppers Drug Mart,"Etobicoke, ON",M9W 1P1,"123 Rexdale Blvd Etobicoke, ON M9W 1P1",43.7110841,-79.5654365,43.7110841-79.5654365,2021-03-10
2245 Islington Ave,Wal-Mart Pharmacy,"Toronto, ON",M9W 3W7,"2245 Islington Ave Toronto, ON M9W 3W7",43.7138049,-79.5531438,43.7138049-79.5531438,2021-03-29
1314 Victoria Park Ave,Victoria Park Pharmacy,"Toronto, ON",M4B 2L4,"1314 Victoria Park Ave Toronto, ON M4B 2L4",43.7139063,-79.2984113,43.7139063-79.2984113,2021-03-10
1860 Bayview Ave Unit 101,1860 Bayview Avenue - Shoppers Drug Mart,"Toronto, ON",M4G 0C3,"1860 Bayview Ave Unit 101 Toronto, ON M4G 0C3",43.7140566,-79.3778586,43.7140566-79.3778586,2021-03-10
25 Peel Centre Dr Unit 379,Shoppers Drug Mart,"Brampton, ON",L6T 3R5,"25 Peel Centre Dr Unit 379 Brampton, ON L6T 3R5",43.7150307,-79.7214959,43.7150307-79.7214959,2021-03-29
770 Lawrence Ave W N,770 Lawrence Ave West - Shoppers Drug Mart,"York, ON",M6A 3C6,"770 Lawrence Ave W N York, ON M6A 3C6",43.7151956,-79.4524299,43.7151956-79.4524299,2021-03-10
25 Peel Centre Dr,Metro Pharmacy,"Brampton, ON",L6T 3R5,"25 Peel Centre Dr Brampton, ON L6T 3R5",43.7154601,-79.7216982,43.7154601-79.7216982,2021-03-29
7205 Goreway Dr,7205 Goreway Drive - Shoppers Drug Mart,"Mississauga, ON",L4T 2T9,"7205 Goreway Dr Mississauga, ON L4T 2T9",43.7182841,-79.6374099,43.7182841-79.6374099,2021-03-29
31 St Dennis Dr Unit 1,Allcures Pharmacy,"Toronto, ON",M3C 1G7,"31 St Dennis Dr Unit 1 Toronto, ON M3C 1G7",43.7183786,-79.3300652,43.7183786-79.3300652,2021-03-10
3110 Bathurst St N,Shoppers Drug Mart,"York, ON",M6A 2A1,"3110 Bathurst St N York, ON M6A 2A1",43.7193258,-79.4328516,43.7193258-79.4328516,2021-03-29
1597 Wilson Ave N,Shoppers Drug Mart,"York, ON",M3L 1A5,"1597 Wilson Ave N York, ON M3L 1A5",43.7203603,-79.5109429,43.7203603-79.5109429,2021-03-29
330 Queens Plate Dr,330 Queens Plate Dr - Fortinos,"Etobicoke, ON",M9W 7J7,"330 Queens Plate Dr Etobicoke, ON M9W 7J7",43.7217584,-79.5961609,43.7217584-79.5961609,2021-03-10
2202 Jane St,Wal-Mart Pharmacy,"Toronto, ON",M3M 1A4,"2202 Jane St Toronto, ON M3M 1A4",43.7224301,-79.510771,43.7224301-79.510771,2021-03-29
1500 Ave Rd,1500 Avenue Road - Shoppers Drug Mart,"Toronto, ON",M5M 3X2,"1500 Ave Rd Toronto, ON M5M 3X2",43.722525,-79.4161207,43.722525-79.4161207,2021-03-10
825 Don Mills Rd,825 Don Mills Road - Loblaw,"Toronto, ON",M3C 1V4,"825 Don Mills Rd Toronto, ON M3C 1V4",43.7227042,-79.3375083,43.7227042-79.3375083,2021-03-10
70 Eglinton Square Blvd,Shoppers Drug Mart,"Toronto, ON",M1L 2K1,"70 Eglinton Square Blvd Toronto, ON M1L 2K1",43.723647,-79.30042,43.723647-79.30042,2021-03-29
1235 Wilson Ave,Rexall,"Toronto, ON",M3M 0B2,"1235 Wilson Ave Toronto, ON M3M 0B2",43.7237804,-79.4887557,43.7237804-79.4887557,2021-03-29
3401 Dufferin St,3401 Dufferin Street - Shoppers Drug Mart,"Toronto, ON",M6A 2T9,"3401 Dufferin St Toronto, ON M6A 2T9",43.7251083,-79.4528087,43.7251083-79.4528087,2021-03-10
2999 Kingston Rd,2999 Kingston Rd. - Shoppers Drug Mart,"Scarborough, ON",M1M 1P1,"2999 Kingston Rd Scarborough, ON M1M 1P1",43.7252846,-79.2305937,43.7252846-79.2305937,2021-03-10
3323 Bathurst St,Premier Pharmacy and Compounding Centre,"Toronto, ON",M6A 2B7,"3323 Bathurst St Toronto, ON M6A 2B7",43.725378,-79.4309518,43.725378-79.4309518,2021-03-10
1115 Wilson Ave,1115 Wilson Avenue - Rexall,"Toronto, ON",M3M 1H2,"1115 Wilson Ave Toronto, ON M3M 1H2",43.725741,-79.4830004,43.725741-79.4830004,2021-03-10
1084 Wilson Ave,1084 Wilson Ave. - Shoppers Drug Mart,"Toronto, ON",M3K 1G6,"1084 Wilson Ave Toronto, ON M3K 1G6",43.7282615,-79.4808439,43.7282615-79.4808439,2021-03-10
1900 Eglinton Ave E,1900 Eglinton Ave East - Walmart,"Scarborough, ON",M1L 2L9,"1900 Eglinton Ave E Scarborough, ON M1L 2L9",43.7283577,-79.2955271,43.7283577-79.2955271,2021-03-10
600 Mitchell Rd,Listowel Remedy's Rx,"Listowel, ON",N4W 3T1,"600 Mitchell Rd Listowel, ON N4W 3T1",43.730309,-80.9688021,43.730309-80.9688021,2021-03-29
842 Wilson Ave,Lefko Pharmasave #794,"Toronto, ON",M3K 1E5,"842 Wilson Ave Toronto, ON M3K 1E5",43.7308124,-79.4673782,43.7308124-79.4673782,2021-03-10
1646 Victoria Park Ave Unit 7,Main Drug Mart,"Toronto, ON",M1R 1P7,"1646 Victoria Park Ave Unit 7 Toronto, ON M1R 1P7",43.7309565,-79.3057989,43.7309565-79.3057989,2021-03-10
100 Billy Bishop Way N,100 Billy Bishop Way - Costco,"York, ON",M3K 2C8,"100 Billy Bishop Way N York, ON M3K 2C8",43.7310297,-79.4559733,43.7310297-79.4559733,2021-03-10
25 Great Lakes Dr,25 Great Lakes Drive - Shoppers Drug Mart,"Brampton, ON",L6R 2S5,"25 Great Lakes Dr Brampton, ON L6R 2S5",43.7315552,-79.7604465,43.7315552-79.7604465,2021-03-29
736 Wilson Ave,Nhatrang Drug Mart,"Toronto, ON",M3K 1E2,"736 Wilson Ave Toronto, ON M3K 1E2",43.7315591,-79.463995,43.7315591-79.463995,2021-03-10
2425 Eglinton Ave E #10,HealthSmart Pharmasave,"Scarborough, ON",M1K 5G8,"2425 Eglinton Ave E #10 Scarborough, ON M1K 5G8",43.7320812,-79.2672493,43.7320812-79.2672493,2021-03-10
3366 Yonge St,3366 Yonge St. - Shoppers Drug Mart,"Toronto, ON",M4N 2M7,"3366 Yonge St Toronto, ON M4N 2M7",43.7323488,-79.4045109,43.7323488-79.4045109,2021-03-10
3402 Yonge St,3402 Yonge Street - Rexall,"Toronto, ON",M4N 2M9,"3402 Yonge St Toronto, ON M4N 2M9",43.7330711,-79.4042829,43.7330711-79.4042829,2021-03-10
11965 Hurontario St,11965 Hurontario Street - Shoppers Drug Mart,"Brampton, ON",L6Z 4P7,"11965 Hurontario St Brampton, ON L6Z 4P7",43.7338349,-79.8231815,43.7338349-79.8231815,2021-03-29
930 N Park Dr,930 North Park Drive - Shoppers Drug Mart,"Brampton, ON",L6S 3Y5,"930 N Park Dr Brampton, ON L6S 3Y5",43.7346054,-79.7444674,43.7346054-79.7444674,2021-03-29
1975 Ave Rd,Canada Chemists,"Toronto, ON",M5M 4A3,"1975 Ave Rd Toronto, ON M5M 4A3",43.734785,-79.419593,43.734785-79.419593,2021-03-29
170 The Donway W Unit 113,Healing Arts Pharmacy,"Toronto, ON",M3C 2J2,"170 The Donway W Unit 113 Toronto, ON M3C 2J2",43.7354112,-79.3480078,43.7354112-79.3480078,2021-03-29
2047 Ave Rd,2047 Avenue Road - Shoppers Drug Mart,"Toronto, ON",M5M 4A7,"2047 Ave Rd Toronto, ON M5M 4A7",43.7362764,-79.4197057,43.7362764-79.4197057,2021-03-10
2751 Eglinton Ave E,2751 Eglinton Ave East - Shoppers Drug Mart,"Scarborough, ON",M1J 2C7,"2751 Eglinton Ave E Scarborough, ON M1J 2C7",43.7363941,-79.2474937,43.7363941-79.2474937,2021-03-10
322 Wilson Ave,Bathurst Wilson I.D.A. Pharmacy,"Toronto, ON",M3H 1S8,"322 Wilson Ave Toronto, ON M3H 1S8",43.7371923,-79.4366764,43.7371923-79.4366764,2021-03-10
2682 Eglinton Ave E,Rexall,"Scarborough, ON",M1K 2S3,"2682 Eglinton Ave E Scarborough, ON M1K 2S3",43.7373179,-79.2494319,43.7373179-79.2494319,2021-03-29
3485 Kingston Rd,Pharmasave,"Toronto, ON",M1M 1R4,"3485 Kingston Rd Toronto, ON M1M 1R4",43.7375271,-79.2173581,43.7375271-79.2173581,2021-03-10
1935 Sheppard Ave W,Pharma Trust Drug Mart,"Downsview, ON",M3L 1Y8,"1935 Sheppard Ave W Downsview, ON M3L 1Y8",43.7395064,-79.5118365,43.7395064-79.5118365,2021-04-02
3874 Bathurst St N,3874 Bathurst Street - Shoppers Drug Mart,"York, ON",M3H 3N3,"3874 Bathurst St N York, ON M3H 3N3",43.7411737,-79.4353135,43.7411737-79.4353135,2021-03-10
1530 Albion Rd,Drug Store Pharmacy,"Etobicoke, ON",M9V 1B4,"1530 Albion Rd Etobicoke, ON M9V 1B4",43.7416936,-79.5843728,43.7416936-79.5843728,2021-03-29
1450 LAWRENCE AVE E,1450 Lawrence Ave East - Nofrills,"Scarborough, ON",M4A 2S8,"1450 LAWRENCE AVE E Scarborough, ON M4A 2S8",43.7424568,-79.3108174,43.7424568-79.3108174,2021-03-10
2528 Bayview Ave,2528 Bayview Ave. - Shoppers Drug Mart,"Toronto, ON",M2L 1A9,"2528 Bayview Ave Toronto, ON M2L 1A9",43.7470647,-79.3849562,43.7470647-79.3849562,2021-03-10
2251 Lawrence Ave E,2251 Lawrence Ave East - Shoppers Drug Mart,"Scarborough, ON",M1P 2P5,"2251 Lawrence Ave E Scarborough, ON M1P 2P5",43.7487442,-79.2763879,43.7487442-79.2763879,2021-03-10
2550 Finch Ave W N,2550 Finch Ave West - Shoppers Drug Mart,"York, ON",M9M 2G3,"2550 Finch Ave W N York, ON M9M 2G3",43.7490485,-79.5603217,43.7490485-79.5603217,2021-03-29
2683 Lawrence Ave E,Lawrence Pharmacy,"Scarborough, ON",M1P 2S2,"2683 Lawrence Ave E Scarborough, ON M1P 2S2",43.7517056,-79.2615008,43.7517056-79.2615008,2021-03-10
