location_code,name,city,street,X,Y,postal,fsa,type
-79.4757716143.65100678Other/Independent,The Healing Source Pharmacy,Toronto,2209 Bloor St,-79.47577161,43.65100678,M6S1N5,M6S,Other/Independent
-79.4759254544.04087095Other/Independent,Healthshield Phar-Quaker Hill,Newmarket,16925 Yonge St,-79.47592545,44.04087095,L3Y5Y1,L3Y,Other/Independent
-79.4762769743.172022Other/Independent,Lincoln Medical Pharmacy Inc,Lincoln,4413 Ontario St,-79.47627697,43.172022,L0R1B5,L0R,Other/Independent
-79.4762770243.70766209Other/Independent,North Park Medical Pharmacy,Toronto,2355 Keele St,-79.47627702,43.70766209,M6M4A1,M6M,Other/Independent
-79.4764527143.65060638Shoppers Drug Mart,Shoppers Drug Mart #989,Toronto,2223 Bloor St W,-79.47645271,43.65060638,M6S1N7,M6S,Shoppers Drug Mart
-79.4765750143.63028898Other/Independent,Medicine Cabinet,Toronto,2081 Lake Shore Blvd W,-79.47657501,43.63028898,M8V3Z4,M8V,Other/Independent
-79.4768043143.62986918Other/Independent,Lakeshore West Pharmacy,Toronto,2083 Lake Shore Blvd W,-79.47680431,43.62986918,M8V4G2,M8V,Other/Independent
-79.4769799743.1677441Shoppers Drug Mart,Shoppers Drug Mart #1256,Lincoln,5005 Serena Dr,-79.47697997,43.1677441,L0R1B4,L0R,Shoppers Drug Mart
-79.4771871243.70334269Other/Independent,Main Drug Mart,Toronto,2306 Keele St,-79.47718712,43.70334269,M6M3Z8,M6M,Other/Independent
-79.4772437544.03400355Metro,Metro Pharmacy #569,Newmarket,16640 Yonge St,-79.47724375,44.03400355,L3X2N8,L3X,Metro
-79.4772437544.03400355Shoppers Drug Mart,Shoppers Drug Mart,Newmarket,16640 Yonge St,-79.47724375,44.03400355,L3X2N8,L3X,Shoppers Drug Mart
-79.4776392343.79205211Other/Independent,Glen Shields Pharmacy,Vaughan,80 Glen Shields Ave,-79.47763923,43.79205211,L4K1T7,L4K,Other/Independent
-79.4776392544.03974255Rexall,Rexall #6966,Newmarket,16900 Yonge St,-79.47763925,44.03974255,L3Y0A3,L3Y,Rexall
-79.4776830743.1751473Rexall,Rexall #422,Lincoln,4486 Ontario St,-79.47768307,43.1751473,L0R1B5,L0R,Rexall
-79.4779907243.72778059Other/Independent,Humber Pharmacy,Toronto,1017 Wilson Ave,-79.47799072,43.72778059,M3K1Z1,M3K,Other/Independent
-79.4780566143.65099628Other/Independent,Bloor West Pharmacy,Toronto,2262 Bloor St W,-79.47805661,43.65099628,M6S1N9,M6S,Other/Independent
-79.4781558243.70821269Other/Independent,Demarco Pharmacy,Toronto,2394 Keele St,-79.47815582,43.70821269,M6M4A5,M6M,Other/Independent
-79.4785938544.05379715Shoppers Drug Mart,Shoppers Drug Mart # 981,Newmarket,20 Davis Dr,-79.47859385,44.05379715,L3Y2M7,L3Y,Shoppers Drug Mart
-79.4787377343.82833871Guardian,Summeridge Guardian Pharmacy,Vaughan,8707 Dufferin St,-79.47873773,43.82833871,L4J0A2,L4J,Guardian
-79.4803635243.72696409Other/Independent,Wilson Compounding Pharmacy,Toronto,1077 Wilson Ave,-79.48036352,43.72696409,M3K1G7,M3K,Other/Independent
-79.4804517544.05955255Other/Independent,Total Health Pharmacy #125,Newmarket,17725 Yonge St,-79.48045175,44.05955255,L3Y7C1,L3Y,Other/Independent
-79.4807590243.72577889Other/Independent,Regency Pharmacy,Toronto,2737 Keele St,-79.48075902,43.72577889,M3M2E9,M3M,Other/Independent
-79.4808439243.72826149Shoppers Drug Mart,Shoppers Drug Mart,Toronto,1084 Wilson Ave,-79.48084392,43.72826149,M3K1G6,M3K,Shoppers Drug Mart
-79.4809946544.05001105Other/Independent,Canadian Add. Treatm. Phcy. Lp,Newmarket,17310 Yonge St,-79.48099465,44.05001105,L3Y7R8,L3Y,Other/Independent
-79.4812862544.05394745Other/Independent,St George Medcare & Pharmacy,Newmarket,17480 Yonge St,-79.48128625,44.05394745,L3Y8A7,L3Y,Other/Independent
-79.4819013544.07319775Other/Independent,Elite Care Pharmacy,Newmarket,181 Green Lane E,-79.48190135,44.07319775,L9N0C9,L9N,Other/Independent
-79.4820377143.62279648Shoppers Drug Mart,Shoppers Drug Mart #1421,Toronto,2206 Lakeshore Blvd W,-79.48203771,43.62279648,M8V1A4,M8V,Shoppers Drug Mart
-79.4825510243.65002278Other/Independent,Swansea Village Pharmacy,Toronto,2388 Bloor St W,-79.48255102,43.65002278,M6S1P5,M6S,Other/Independent
-79.4830004243.72574099Rexall,Rexall #891,Toronto,1115 Wilson Ave,-79.48300042,43.72574099,M3M1H2,M3M,Rexall
-79.4830576143.63025028Shoppers Drug Mart,Shoppers Drug Mart #865,Toronto,125 The Queensway,-79.48305761,43.63025028,M8Y1H6,M8Y,Shoppers Drug Mart
-79.4830576143.63025028Sobeys,Sobeys Pharmacy #7222,Toronto,125 The Queensway,-79.48305761,43.63025028,L4V1W2,L4V,Sobeys
-79.4833203143.62106368Other/Independent,Humber Bay Pharmacy,Toronto,2240 Lakeshore Blvd W,-79.48332031,43.62106368,M8V0B1,M8V,Other/Independent
-79.4834598243.73047909Other/Independent,Downsview Park Pharmacy,Toronto,2830 Keele St,-79.48345982,43.73047909,M3M3E5,M3M,Other/Independent
-79.4834832243.64918188Other/Independent,Action Pharmacy,Toronto,2425 Bloor St W,-79.48348322,43.64918188,M6S4W4,M6S,Other/Independent
-79.4834832343.84193041Shoppers Drug Mart,Shoppers Drug Mart #1282,Vaughan,9200 Dufferin St,-79.48348323,43.84193041,L4K0C6,L4K,Shoppers Drug Mart
-79.4839226243.68666199Loblaw,Drug Store Pharmacy #4285,Toronto,25 Photography Circle,-79.48392262,43.68666199,M6M0A1,M6M,Loblaw
-79.4845378443.86344712Other/Independent,Hooper's Pharmacy,Vaughan,1410 Major Mackenzie Dr W,-79.48453784,43.86344712,L6A4H6,L6A,Other/Independent
-79.4845815243.66805408Walmart,Wal-Mart Pharmacy,Toronto,2525 St Clair Ave W,-79.48458152,43.66805408,M6N4Z5,M6N,Walmart
-79.4850211343.81107271Other/Independent,Woodvalley Pharmacy Inc,Vaughan,422 N Rivermede Rd,-79.48502113,43.81107271,L4K3R5,L4K,Other/Independent
-79.4855043544.05610395Shoppers Drug Mart,Shoppers Drug Mart #660,Newmarket,17600 Yonge St,-79.48550435,44.05610395,L3Y4Z1,L3Y,Shoppers Drug Mart
-79.4856800544.06626905Walmart,Wal-Mart Pharmacy,Newmarket,17940 Yonge St,-79.48568005,44.06626905,L3Y8S4,L3Y,Walmart
-79.4862850544.06985915Loblaw,Loblaw Pharmacy,Newmarket,18120 Yonge St,-79.48628505,44.06985915,L3Y8V1,L3Y,Loblaw
-79.4864710243.66592088Shoppers Drug Mart,Shoppers Drug Mart #1166,Toronto,3446 Dundas St W,-79.48647102,43.66592088,M6S2S1,M6S,Shoppers Drug Mart
-79.4867786243.7438468Other/Independent,Keele Sheppard Drugs,Toronto,3306 Keele St,-79.48677862,43.7438468,M3M2H7,M3M,Other/Independent
-79.4869983343.7507138Other/Independent,Nam Pharmacy,Toronto,3585 Keele St,-79.48699833,43.7507138,M3J3H5,M3J,Other/Independent
-79.4874596343.7457419Other/Independent,Wellcare Pharmacy,Toronto,3352 Keele St,-79.48745963,43.7457419,M3J1L5,M3J,Other/Independent
-79.4876573143.61755597Other/Independent,Akron Pharmacy,Toronto,2318 Lake Shore Blvd W,-79.48765731,43.61755597,M8V1B5,M8V,Other/Independent
-79.4877013343.7541835Other/Independent,J C Pharmacy,Toronto,3685 Keele St,-79.48770133,43.7541835,M3J3H6,M3J,Other/Independent
-79.4880298243.69610839Other/Independent,Main Drug Mart,Toronto,510 Trethewey Dr,-79.48802982,43.69610839,M6M4C2,M6M,Other/Independent
-79.4880308243.65870638Other/Independent,Lingeman Pharmacy,Toronto,411 Jane St,-79.48803082,43.65870638,M6S3Z6,M6S,Other/Independent
-79.4883603343.7548736Other/Independent,Yorkview Chemist,Toronto,3695 Keele St,-79.48836033,43.7548736,M3J1N2,M3J,Other/Independent
-79.4884921343.757883Walmart,Wal-Mart Pharmacy,Toronto,3757 Keele St,-79.48849213,43.757883,M3J1N4,M3J,Walmart
-79.4885361243.70579869Other/Independent,Lawrence Medical Pharmacy,Toronto,1575 Lawrence Ave W,-79.48853612,43.70579869,M6L1C3,M6L,Other/Independent
-79.4886833243.66806958Other/Independent,Stockyards Pharmacy,Toronto,2566 St Clair Ave W,-79.48868332,43.66806958,M6N1L8,M6N,Other/Independent
-79.4887557243.72378039Rexall,Rexall #8168,Toronto,1235 Wilson Ave,-79.48875572,43.72378039,M3M0B2,M3M,Rexall
-79.4887662243.63735678Other/Independent,Clinic Plus I.D.A Pharmacy,Toronto,10 Neighbourhood Lane,-79.48876622,43.63735678,M8Y0C5,M8Y,Other/Independent
-79.4887924343.7644571Other/Independent,Nor-Arm Pharmacy,Toronto,1280 Finch Ave W,-79.48879243,43.7644571,M3J3K6,M3J,Other/Independent
-79.4890633143.61479177Other/Independent,Mimico Pharmacy,Toronto,2408 Lake Shore Blvd W,-79.48906331,43.61479177,M8V1C4,M8V,Other/Independent
-79.4892689143.61426007Other/Independent,Lakeside Pharmacy,Toronto,2438 Lakeshore Blvd W,-79.48926891,43.61426007,M8V1C4,M8V,Other/Independent
-79.4892830443.86034252Shoppers Drug Mart,Shoppers Drug Mart #1386,Vaughan,9980 Dufferin St,-79.48928304,43.86034252,L6A4K5,L6A,Shoppers Drug Mart
-79.4894292544.07118975Costco,Costco Pharmacy #510,East Gwillimbury,18182 Yonge St,-79.48942925,44.07118975,L9N0J3,L9N,Costco
-79.4895042343.7633782Other/Independent,Main Drug Mart,Toronto,1315 Finch Ave W,-79.48950423,43.7633782,M3J2G6,M3J,Other/Independent
-79.4899860343.7647552Other/Independent,Bh Pharmacy,Toronto,1300 Finch Ave W,-79.48998603,43.7647552,M3J3K2,M3J,Other/Independent
-79.4900011243.62415418Other/Independent,B. Well Pharmacy,Toronto,262 Manitoba St,-79.49000112,43.62415418,M8Y4G9,M8Y,Other/Independent
-79.4900173243.65964578Other/Independent,Medione Rx,Toronto,100 Thornhill Ave,-79.49001732,43.65964578,L4J7Y1,L4J,Other/Independent
-79.4906197243.68759909Other/Independent,Weston & Eglinton Pharmacy,Toronto,1181 Won Rd,-79.49061972,43.68759909,M6M4P5,M6M,Other/Independent
-79.4908154343.7626263Other/Independent,R.O.O.T.S. Four Winds Pharmacy,Toronto,3932 Keele St,-79.49081543,43.7626263,M3J1N8,M3J,Other/Independent
-79.4912161343.7812928Other/Independent,York Specialized Pharmacy Serv,Toronto,2899 Steeles Ave W,-79.49121613,43.7812928,M3J3A1,M3J,Other/Independent
-79.4921887243.70455809Other/Independent,Total Health Pharmacy #124,Toronto,1635 Lawrence Ave W,-79.49218872,43.70455809,M6L3C9,M6L,Other/Independent
-79.4922706243.72232879Other/Independent,Wellcare Union Medical Phcy,Toronto,1263 Wilson Ave,-79.49227062,43.72232879,M3M3G3,M3M,Other/Independent
-79.4926300343.84006691Other/Independent,Pharmacy Coach Drug Store,Vaughan,1801 Rutherford Rd,-79.49263003,43.84006691,L4K5R7,L4K,Other/Independent
-79.4927538644.10283286Other/Independent,Hollands Family Pharmacy,East Gwillimbury,19466 Yonge St,-79.49275386,44.10283286,L9N1M6,L9N,Other/Independent
-79.4931098243.67060228Other/Independent,White's Pharmacy,Toronto,725 Jane St,-79.49310982,43.67060228,M6M4B3,M6M,Other/Independent
-79.4931409343.774282Shoppers Drug Mart,Shoppers Drug Mart #1162,Toronto,4700 Keele St,-79.49314093,43.774282,M3J1P3,M3J,Shoppers Drug Mart
-79.4934584343.7775214Other/Independent,University Health Centre Phcy,Toronto,4801 Keele St,-79.49345843,43.7775214,M3J3A4,M3J,Other/Independent
-79.4938522343.7825725Other/Independent,Concord Speciality Pharmacy,Vaughan,2180 Steeles Ave W,-79.49385223,43.7825725,L4K2Z5,L4K,Other/Independent
-79.4943623443.86288562Other/Independent,Dufferin Major Pharmacy,Vaughan,1530 Major Mackenzie Dr,-79.49436234,43.86288562,L6A0A9,L6A,Other/Independent
-79.4944618243.67718658Other/Independent,Jane Park Plaza Pharmacy,Toronto,873 Jane St,-79.49446182,43.67718658,M6N4C4,M6N,Other/Independent
-79.4947204846.33496133Other/Independent,North Bay Regional Pharmacy,North Bay,50 College Dr,-79.49472048,46.33496133,P1B5A4,P1B,Other/Independent
-79.4957516243.67757108Other/Independent,Oya Pharmacy,Toronto,903 Jane St,-79.49575162,43.67757108,M6N4C6,M6N,Other/Independent
-79.4957704243.68909369Other/Independent,Weston Jane Pharmacy,Toronto,1292 Won Rd,-79.49577042,43.68909369,M6M4R3,M6M,Other/Independent
-79.4957853243.66544928Loblaw,The Drug Store Pharmacy #1099,Toronto,3671 Dundas St W,-79.49578532,43.66544928,M6S2T3,M6S,Loblaw
-79.4971472243.68088359Other/Independent,Janedal Pharmacy,Toronto,965 Jane St,-79.49714722,43.68088359,M6N4E1,M6N,Other/Independent
-79.4978941243.61223267Loblaw,The Drugstore Pharmacy #4113,Toronto,220 Royal York Rd,-79.49789412,43.61223267,M8V2V7,M8V,Loblaw
-79.4991241343.7632339Other/Independent,Pharma D. Drugs,Toronto,45 Four Winds Dr,-79.49912413,43.7632339,M3J1K7,M3J,Other/Independent
-79.4994583343.79633071Costco,Costco Pharmacy,Vaughan,7622 Keele St,-79.49945833,43.79633071,L4K2P5,L4K,Costco
-79.4999369243.61934257Other/Independent,Kassel's Pharmacy,Toronto,396 Royal York Rd,-79.49993692,43.61934257,M8Y2R5,M8Y,Other/Independent
-79.5014085343.69710009Shoppers Drug Mart,Shoppers Drug Mart #869,Toronto,1533 Jane St,-79.50140853,43.69710009,M9N2R2,M9N,Shoppers Drug Mart
-79.5020531343.68399749Other/Independent,Forest Hill Pharmacy,Toronto,Eglinton Ave W,-79.50205313,43.68399749,M5N1A8,M5N,Other/Independent
-79.5022432243.60168607Shoppers Drug Mart,Shoppers Drug Mart #959,Toronto,2850 Lakeshore Blvd,-79.50224322,43.60168607,M8V1J2,M8V,Shoppers Drug Mart
-79.5023855343.69910199Other/Independent,The Pharmacy Network.,Toronto,1575 Jane St,-79.50238553,43.69910199,M9N2R3,M9N,Other/Independent
-79.5025507443.86002072Walmart,Wal-Mart Pharmacy,Vaughan,1900 Major Mackenzie Dr,-79.50255074,43.86002072,L6A4R9,L6A,Walmart
-79.5028802243.62781488Other/Independent,Citrus Pharmacy,Toronto,605 Royal York Rd,-79.50288022,43.62781488,M8Y4G5,M8Y,Other/Independent
-79.5036677343.70499039Other/Independent,Anne Pharmacy,Toronto,1749 Jane St,-79.50366773,43.70499039,M9N2S5,M9N,Other/Independent
-79.5038466243.60077647Other/Independent,Don Russell Drug Mart,Toronto,2891 Lakeshore Blvd W,-79.50384662,43.60077647,M8V1J1,M8V,Other/Independent
-79.5040801243.60127367Other/Independent,New Toronto Pharmacy,Toronto,2898 Lake Shore Blvd W,-79.50408012,43.60127367,M8V1J2,M8V,Other/Independent
-79.5048790343.70531189Other/Independent,Jane Pharmacy,Toronto,1750 Jane St,-79.50487903,43.70531189,M9N2T1,M9N,Other/Independent
-79.5050579343.68950489Other/Independent,West Park Pharmacy,Toronto,Buttonwood Ave,-79.50505793,43.68950489,M6M2J5,M6M,Other/Independent
-79.5054847243.64807038Other/Independent,Prince Edward Pharmacy,Toronto,324 Prince Edward Dr S,-79.50548472,43.64807038,M8Y3Z5,M8Y,Other/Independent
-79.5056915343.70916269Other/Independent,Welcome Care Pharmacy,Toronto,1884 Jane St,-79.50569153,43.70916269,M9N2T5,M9N,Other/Independent
-79.5062071243.67764478Other/Independent,Main Drug Mart,Toronto,265 Scarlett Rd,-79.50620712,43.67764478,M6N4L1,M6N,Other/Independent
-79.5072291243.64850698Other/Independent,Canadian Compounding Pharmacy,Toronto,2920 Bloor St W,-79.50722912,43.64850698,M8X1B6,M8X,Other/Independent
-79.5072511443.83692881Other/Independent,Maplegate Pharmacy,Vaughan,2200 Rutherford Rd,-79.50725114,43.83692881,L4K5V2,L4K,Other/Independent
-79.5074268343.71910319Other/Independent,Jane Wilson Pharmacy,Toronto,2111 Jane St,-79.50742683,43.71910319,M3M1A2,M3M,Other/Independent
-79.5076464243.62345107Costco,Costco Pharmacy #524,Toronto,50 Queen Elizabeth Blvd,-79.50764642,43.62345107,M8Z1M1,M8Z,Costco
-79.5076532543.93436023Other/Independent,Improved Care Pharmacy,King City,1700 King Rd,-79.50765325,43.93436023,L7B0N1,L7B,Other/Independent
-79.5096671343.71964369Loblaw,Drugstore Phcy #4327,Toronto,1591 Wilson Ave,-79.50966713,43.71964369,M3L1A5,M3L,Loblaw
-79.5104674343.68238838Metro,Metro Drugs,Toronto,320 Scarlett Rd,-79.51046743,43.68238838,M9A4S4,M9A,Metro
-79.5110433243.64773048Shoppers Drug Mart,Shoppers Drug Mart #808,Toronto,3010 Bloor St W,-79.51104332,43.64773048,M8X1C2,M8X,Shoppers Drug Mart
-79.5110727343.71947739Shoppers Drug Mart,Shoppers Drug Mart #990,Toronto,1597 Wilson Ave,-79.51107273,43.71947739,M3L1A5,M3L,Shoppers Drug Mart
-79.5116855343.72177609Other/Independent,Community Choice Pharmacy - Bl,Toronto,2202 Jane St,-79.51168553,43.72177609,M3M1A4,M3M,Other/Independent
-79.5116855343.72177609Walmart,Wal-Mart Pharmacy #1151,Toronto,2202 Jane St,-79.51168553,43.72177609,M3M1A4,M3M,Walmart
-79.5116913343.72177709Other/Independent,Sheridan I.D.A. Pharmacy,Toronto,1700 Wilson Ave,-79.51169133,43.72177709,M3L1B2,M3L,Other/Independent
-79.5117340443.85440601Other/Independent,The Medicine Shoppe Pharmacy,Vaughan,9983 Keele St,-79.51173404,43.85440601,L6A3Y5,L6A,Other/Independent
-79.5118365343.73950639Other/Independent,Pharma Trust Drug Mart,Toronto,1935 Sheppard Ave W,-79.51183653,43.73950639,M3L1Y8,M3L,Other/Independent
-79.5118727343.71937399Other/Independent,Beverly Hills Pharmacy,Toronto,56 Beverly Hills Dr,-79.51187273,43.71937399,M3L1A1,M3L,Other/Independent
-79.5125442443.85693882Other/Independent,Vaughan Medical Pharmacy,Vaughan,10083 Keele St,-79.51254424,43.85693882,L6A3Y8,L6A,Other/Independent
-79.5130054443.85500581Shoppers Drug Mart,Shoppers Drug Mart #933,Vaughan,2266 Major Mackenzie Dr W,-79.51300544,43.85500581,L6A3Y7,L6A,Shoppers Drug Mart
-79.5132082343.73984019Other/Independent,Lily Pharmacy,Toronto,2705 Jane St,-79.51320823,43.73984019,M3L1S3,M3L,Other/Independent
-79.5138318243.61845087Other/Independent,Medipax Pharmacy Services Ltd,Toronto,200 Evans Ave,-79.51383182,43.61845087,M8Z1J7,M8Z,Other/Independent
-79.5141474343.65980748Other/Independent,Kingsway Pharmacy,Toronto,4242 Dundas St W,-79.51414743,43.65980748,M8X1Y6,M8X,Other/Independent
-79.5142140343.74132849Other/Independent,Homa Pharmacy,Toronto,2698 Jane St,-79.51421403,43.74132849,M3L1S5,M3L,Other/Independent
-79.5143303343.73986929Other/Independent,Sav-on Drug Mart,Toronto,2528 Jane St,-79.51433033,43.73986929,M3L1S1,M3L,Other/Independent
-79.5154212343.64616768Other/Independent,Cosmo Pharmacy,Toronto,3101 Bloor St W,-79.51542123,43.64616768,M8X2W2,M8X,Other/Independent
-79.5154286443.7518516Other/Independent,Supercare Pharmacy,Toronto,2867 Jane St,-79.51542864,43.7518516,M3N2J5,M3N,Other/Independent
-79.5158436443.7561471Shoppers Drug Mart,Shoppers Drug Mart#840,Toronto,3975 Jane St,-79.51584364,43.7561471,M3N2K1,M3N,Shoppers Drug Mart
-79.5160362343.7484056Other/Independent,Jane Centre Pharmacy,Toronto,2780 Jane St,-79.51603623,43.7484056,M3N2J2,M3N,Other/Independent
-79.5161679343.70053989Other/Independent,Eagle Manor Pharmacy,Toronto,1901 Won Rd,-79.51616793,43.70053989,M9N3P5,M9N,Other/Independent
-79.5167389443.85368921Other/Independent,Bio Health Pharmacy,Vaughan,2389 Major Mackenzie Dr W,-79.51673894,43.85368921,L6A3Z2,L6A,Other/Independent
-79.5174650343.70029959Other/Independent,Westlaw Pharmacy Limited,Toronto,1922 Won Rd,-79.51746503,43.70029959,M9N1W2,M9N,Other/Independent
-79.5176919243.59825937Other/Independent,Unicare Pharmacy,Toronto,3170 Lake Shore Blvd W,-79.51769192,43.59825937,M8V3X8,M8V,Other/Independent
-79.5181960343.70092419Other/Independent,Weston Medical Centre Pharmacy,Toronto,1953 Won Rd,-79.51819603,43.70092419,M9N1W8,M9N,Other/Independent
-79.5183518343.69987919Other/Independent,River Hill Pharmacy,Toronto,2086 Lawrence Ave W,-79.51835183,43.69987919,M9N2Z9,M9N,Other/Independent
-79.5188033443.7589862Other/Independent,Yorkgate Ida Drugmart,Toronto,1 York Gate Blvd,-79.51880334,43.7589862,M3N3A1,M3N,Other/Independent
-79.5195200443.757Other/Independent,Pharmacia Drugs,Toronto,1995 Finch Ave W,-79.51952004,43.757,M3N2V3,M3N,Other/Independent
-79.5197201343.63157218Loblaw,Loblaw Pharmacy,Toronto,1020 Islington Ave,-79.51972013,43.63157218,M8Z6A4,M8Z,Loblaw
-79.5197207343.70125089Shoppers Drug Mart,Shoppers Drug Mart #876,Toronto,1995 Won Rd,-79.51972073,43.70125089,M9N1X2,M9N,Shoppers Drug Mart
-79.5197696343.66151348Shoppers Drug Mart,Shoppers Drug Mart #837,Toronto,270 The Kingsway,-79.51976963,43.66151348,M9A3T7,M9A,Shoppers Drug Mart
-79.5203844543.92993383Guardian,King City Guardian Drugs,King City,2075 King Rd,-79.52038445,43.92993383,L7B1K2,L7B,Guardian
-79.5204723443.7957594Metro,Vaughan Metropolitan Pharmacy,Vaughan,2904 Hwy 7 W,-79.52047234,43.7957594,L4K0G3,L4K,Metro
-79.5205304443.7694907Rexall,Rexall #2394,Toronto,4702 Jane St,-79.52053044,43.7694907,M3N2L3,M3N,Rexall
-79.5207798443.7684556Other/Independent,Jane Shoreham Pharmacy,Toronto,4640 Jane St,-79.52077984,43.7684556,M3N2K5,M3N,Other/Independent
-79.5210756543.85253361Other/Independent,Medi Pharm 2 Pharmacy,Vaughan,2535 Major Mackenzie Dr W,-79.52107565,43.85253361,L6A1C6,L6A,Other/Independent
-79.5214055443.7692709Other/Independent,North Side Pharmacy,Toronto,4700 Jane St,-79.52140554,43.7692709,M3N2L3,M3N,Other/Independent
-79.5216570343.70137719Other/Independent,Total Health Pharmacy,Toronto,2050 Won Rd,-79.52165703,43.70137719,M9N3M4,M9N,Other/Independent
-79.5221413443.83457421Other/Independent,Forum Drug Mart,Vaughan,2640 Rutherford Rd,-79.52214134,43.83457421,L4K0H3,L4K,Other/Independent
-79.5223102343.64515348Other/Independent,Medi-Place Pharmacy,Toronto,3300 Bloor St W,-79.52231023,43.64515348,M8X2W8,M8X,Other/Independent
-79.5223170543.85187801Other/Independent,Drugcare Pharmacy,Vaughan,2563 Major Mackenzie Dr W,-79.52231705,43.85187801,L6A2E8,L6A,Other/Independent
-79.5224687343.70220709Other/Independent,Friendly Care West King Phmcy,Toronto,2077 Won Rd,-79.52246873,43.70220709,M9N1X7,M9N,Other/Independent
-79.5232187543.93007223Shoppers Drug Mart,Shoppers Drug Mart #1415,King City,2140 King Rd,-79.52321875,43.93007223,L7B1L5,L7B,Shoppers Drug Mart
-79.5232764443.7557468Other/Independent,Oakdale Pharmacy,Toronto,2065 Finch Ave W,-79.52327644,43.7557468,M3N2V7,M3N,Other/Independent
-79.5234078343.70239749Other/Independent,Central Weston Pharmacy,Toronto,2105 Won Rd,-79.52340783,43.70239749,M9N1X7,M9N,Other/Independent
-79.5234492343.62200937Other/Independent,Danny's Wellness Pharmacy,Toronto,1206 The Queensway,-79.52344923,43.62200937,M8Z1R8,M8Z,Other/Independent
-79.5235467343.64591708Other/Independent,Islington Medical Pharmacy,Toronto,1243 Islington Ave,-79.52354673,43.64591708,M8X1Y9,M8X,Other/Independent
-79.5235907343.68570078Other/Independent,Larose Pharmacy,Toronto,140 La Rose Ave,-79.52359073,43.68570078,M9P1B2,M9P,Other/Independent
-79.5239571343.62034217Other/Independent,Kipling & Queensway Pharmacy,Toronto,1255 The Queensway,-79.52395713,43.62034217,M8Z1S1,M8Z,Other/Independent
-79.5249295343.70320139Other/Independent,Weston Drug Mart,Toronto,2159 Won Rd,-79.52492953,43.70320139,M9N1X8,M9N,Other/Independent
-79.5250839443.7561251Other/Independent,Total Health Pharmacy,Toronto,2100 Finch Ave W,-79.52508394,43.7561251,M3N2Z9,M3N,Other/Independent
-79.5251590443.775107Other/Independent,Steeles Medical Pharmacy,Vaughan,3200 Steeles Ave W,-79.52515904,43.775107,L4K3B8,L4K,Other/Independent
-79.5254353343.70284089Other/Independent,Main Drug Mart,Toronto,2160 Won Rd,-79.52543533,43.70284089,M9N1X6,M9N,Other/Independent
-79.5260924243.59634417Other/Independent,Humber Lakeshore Pharmacy,Toronto,3346 Lakeshore Blvd W,-79.52609242,43.59634417,M8W1M9,M8W,Other/Independent
-79.5264015343.62136237Other/Independent,Get Well Pharmacy,Toronto,1278 The Queensway,-79.52640153,43.62136237,M8Z1S3,M8Z,Other/Independent
-79.5270602443.7542723Other/Independent,Total Health Pharmacy,Toronto,2115 Finch Ave W,-79.52706024,43.7542723,M3N2V6,M3N,Other/Independent
-79.5279825343.68684748Other/Independent,Specialty Rx,Toronto,1451 Royal York Rd,-79.52798253,43.68684748,M9P3B2,M9P,Other/Independent
-79.5285095343.64945348Rexall,Rexall #2063,Toronto,4890 Dundas St W,-79.52850953,43.64945348,M9A1B5,M9A,Rexall
-79.5285289343.68552638Other/Independent,Royal York Pharmacy,Toronto,1436 Royal York Rd,-79.52852893,43.68552638,M9P3A9,M9P,Other/Independent
-79.5289048443.7625094Other/Independent,Life Trust Pharmacy Ltd.,Toronto,125 Norfinch Dr,-79.52890484,43.7625094,M3N1W8,M3N,Other/Independent
-79.5291324343.64860528Other/Independent,Remedy's Al- Shafa Pharmacy,Toronto,4922 Dundas St W,-79.52913243,43.64860528,M9A1B7,M9A,Other/Independent
-79.5299149343.59496237Other/Independent,Stress Free Pharmacy,Toronto,3471 Lake Shore Blvd W,-79.52991493,43.59496237,M8W1N2,M8W,Other/Independent
-79.5299588443.7969314Walmart,Wal-Mart Pharmacy,Vaughan,101 Edgeley Blvd,-79.52995884,43.7969314,L4K4Z4,L4K,Walmart
-79.5302442343.64744408Other/Independent,Pharma-Docs,Toronto,4972 Dundas St W,-79.53024423,43.64744408,M9A1B7,M9A,Other/Independent
-79.5315913443.69201659Other/Independent,Drugtown Pharmacy,Toronto,1500 Royal York Rd,-79.53159134,43.69201659,M9P3B6,M9P,Other/Independent
-79.5318033543.83561421Other/Independent,Healthshield Pharmacy,Vaughan,9401 Jane St,-79.53180335,43.83561421,L6A4H7,L6A,Other/Independent
-79.5320454343.66272108Shoppers Drug Mart,Shoppers Drug Mart #1341,Toronto,1500 Islington Ave,-79.53204543,43.66272108,M9A3L8,M9A,Shoppers Drug Mart
-79.5322747343.64452218Other/Independent,Dunbloor Medical Pharmacy,Toronto,5115 Dundas St W,-79.53227473,43.64452218,M9A1C1,M9A,Other/Independent
-79.5327694543.84922371Loblaw,Drugstore Pharmacy #4122,Vaughan,2911 Major Mackenzie Dr,-79.53276945,43.84922371,L6A3N9,L6A,Loblaw
-79.5334085443.70810159Loblaw,Loblaw Pharmacy,Toronto,2549 Won Rd,-79.53340854,43.70810159,M9N2A7,M9N,Loblaw
-79.5340419543.82941411Guardian,Tuscany Guardian Pharmacy,Vaughan,9100 Jane St,-79.53404195,43.82941411,L4K0A4,L4K,Guardian
